Frame Transformation Calculation


Calculation Inputs

Calculation type       = Frame Transformation (from Frame 1 to Frame 2)
Frame 1                = j2000
Frame 2                = ITRF93
Time system            = UTC
Time format            = Calendar date and time
Time range             = jan 1 2016 00:00:00 to Jan 1 2021 00:00:00
Step                   = 1 hours
Light propagation      = No correction
Orientation form       = Euler angles
Rotation order         = R = [Angle3]z * [Angle2]x * [Angle1]z
Angular units          = Degrees
Angular velocity form  = Not included
Angular velocity units = Degrees/second


Frame Transformation Results

UTC calendar date               Angle 3 (deg)  Angle 2 (deg)  Angle 1 (deg)
2016-01-01 00:00:00.000000 UTC    11.75029840     0.08893637    88.13606324
2016-01-01 01:00:00.000000 UTC    26.80171570     0.08894607    88.12571277
2016-01-01 02:00:00.000000 UTC    41.85122172     0.08895966    88.11727358
2016-01-01 03:00:00.000000 UTC    56.89823366     0.08897623    88.11132848
2016-01-01 04:00:00.000000 UTC    71.94234016     0.08899467    88.10828883
2016-01-01 05:00:00.000000 UTC    86.98332934     0.08901376    88.10836650
2016-01-01 06:00:00.000000 UTC   102.02120278     0.08903220    88.11155990
2016-01-01 07:00:00.000000 UTC   117.05617497     0.08904878    88.11765456
2016-01-01 08:00:00.000000 UTC   132.08865814     0.08906238    88.12623824
2016-01-01 09:00:00.000000 UTC   147.11923393     0.08907210    88.13672931
2016-01-01 10:00:00.000000 UTC   162.14861362     0.08907731    88.14841648
2016-01-01 11:00:00.000000 UTC   177.17758984     0.08907767    88.16050712
2016-01-01 12:00:00.000000 UTC  -167.79301721     0.08907319    88.17218103
2016-01-01 13:00:00.000000 UTC  -152.76241516     0.08906419    88.18264584
2016-01-01 14:00:00.000000 UTC  -137.72989327     0.08905133    88.19119080
2016-01-01 15:00:00.000000 UTC  -122.69487071     0.08903549    88.19723509
2016-01-01 16:00:00.000000 UTC  -107.65693624     0.08901779    88.20036747
2016-01-01 17:00:00.000000 UTC   -92.61587659     0.08899946    88.20037466
2016-01-01 18:00:00.000000 UTC   -77.57169155     0.08898179    88.19725647
2016-01-01 19:00:00.000000 UTC   -62.52459449     0.08896600    88.19122624
2016-01-01 20:00:00.000000 UTC   -47.47499818     0.08895320    88.18269676
2016-01-01 21:00:00.000000 UTC   -32.42348697     0.08894430    88.17225239
2016-01-01 22:00:00.000000 UTC   -17.37077691     0.08893993    88.16060916
2016-01-01 23:00:00.000000 UTC    -2.31766637     0.08894042    88.14856544
2016-01-02 00:00:00.000000 UTC    12.73501890     0.08894576    88.13694701
