Frame Transformation Calculation


Calculation Inputs

Calculation type       = Frame Transformation (from Frame 1 to Frame 2)
Frame 1                = J2000
Frame 2                = ITRF93
Time system            = UTC
Time format            = Calendar date and time
Time range             = jan 1 2020 00:00:00 to jan 1 2021 00:00:00
Step                   = 1 hours
Light propagation      = No correction
Orientation form       = Euler angles
Rotation order         = R = [Angle3]z * [Angle2]x * [Angle1]z
Angular units          = Degrees
Angular velocity form  = Not included
Angular velocity units = Degrees/second


Frame Transformation Results

UTC calendar date               Angle 3 (deg)  Angle 2 (deg)  Angle 1 (deg)
2020-01-01 00:00:00.000000 UTC    10.25741427     0.10943223    89.60742145
2020-01-01 01:00:00.000000 UTC    25.30748500     0.10944384    89.59841781
2020-01-01 02:00:00.000000 UTC    40.35572566     0.10945964    89.59124424
2020-01-01 03:00:00.000000 UTC    55.40163018     0.10947857    89.58640682
2020-01-01 04:00:00.000000 UTC    70.44485315     0.10949939    89.58425094
2020-01-01 05:00:00.000000 UTC    85.48523327     0.10952068    89.58493792
2020-01-01 06:00:00.000000 UTC   100.52280396     0.10954102    89.58843434
2020-01-01 07:00:00.000000 UTC   115.55779065     0.10955906    89.59451476
2020-01-01 08:00:00.000000 UTC   130.59059503     0.10957359    89.60277749
2020-01-01 09:00:00.000000 UTC   145.62176738     0.10958364    89.61267226
2020-01-01 10:00:00.000000 UTC   160.65196897     0.10958857    89.62353780
2020-01-01 11:00:00.000000 UTC   175.68192710     0.10958805    89.63464679
2020-01-01 12:00:00.000000 UTC  -169.28761423     0.10958216    89.64525523
2020-01-01 13:00:00.000000 UTC  -154.25594477     0.10957133    89.65465289
2020-01-01 14:00:00.000000 UTC  -139.22243624     0.10955632    89.66221146
2020-01-01 15:00:00.000000 UTC  -124.18658505     0.10953818    89.66742739
2020-01-01 16:00:00.000000 UTC  -109.14804684     0.10951818    89.66995627
2020-01-01 17:00:00.000000 UTC   -94.10666015     0.10949772    89.66963668
2020-01-01 18:00:00.000000 UTC   -79.06245792     0.10947821    89.66650154
2020-01-01 19:00:00.000000 UTC   -64.01566560     0.10946103    89.66077631
2020-01-01 20:00:00.000000 UTC   -48.96668610     0.10944737    89.65286389
2020-01-01 21:00:00.000000 UTC   -33.91607239     0.10943820    89.64331726
2020-01-01 22:00:00.000000 UTC   -18.86448969     0.10943416    89.63280163
