Frame Transformation Calculation


Calculation Inputs

Calculation type       = Frame Transformation (from Frame 1 to Frame 2)
Frame 1                = j2000
Frame 2                = ITRF93
Time system            = UTC
Time format            = Calendar date and time
Time range             = dec 31 2020 23:59:59 to dec 31 2025 23:59:59
Step                   = 1 hours
Light propagation      = No correction
Orientation form       = Euler angles
Rotation order         = R = [Angle3]z * [Angle2]x * [Angle1]z
Angular units          = Degrees
Angular velocity form  = Not included
Angular velocity units = Degrees/second


Frame Transformation Results

UTC calendar date               Angle 3 (deg)  Angle 2 (deg)  Angle 1 (deg)
2020-12-31 23:59:59.000000 UTC    10.57031770     0.11504255    90.02444586
2021-01-01 00:59:59.000000 UTC    25.62067333     0.11505488    90.01515749
2021-01-01 01:59:59.000000 UTC    40.66925134     0.11507181    90.00764675
2021-01-01 02:59:59.000000 UTC    55.71551587     0.11509227    90.00244950
2021-01-01 03:59:59.000000 UTC    70.75908982     0.11511495    89.99994282
2021-01-01 04:59:59.000000 UTC    85.79978051     0.11513835    90.00031941
2021-01-01 05:59:59.000000 UTC   100.83759249     0.11516096    90.00357471
2021-01-01 06:59:59.000000 UTC   115.87272689     0.11518130    90.00950759
2021-01-01 07:59:59.000000 UTC   130.90556730     0.11519806    90.01773448
2021-01-01 08:59:59.000000 UTC   145.93665336     0.11521016    90.02771571
2021-01-01 09:59:59.000000 UTC   160.96664394     0.11521685    90.03879243
2021-01-01 10:59:59.000000 UTC   175.99627225     0.11521775    90.05023142
2021-01-01 11:59:59.000000 UTC  -168.97370388     0.11521285    90.06127484
2021-01-01 12:59:59.000000 UTC  -153.94255344     0.11520258    90.07119170
2021-01-01 13:59:59.000000 UTC  -138.90962188     0.11518769    90.07932742
2021-01-01 14:59:59.000000 UTC  -123.87437569     0.11516928    90.08514851
2021-01-01 15:59:59.000000 UTC  -108.83643896     0.11514867    90.08827905
2021-01-01 16:59:59.000000 UTC   -93.79561936     0.11512733    90.08852672
2021-01-01 17:59:59.000000 UTC   -78.75192173     0.11510681    90.08589635
2021-01-01 18:59:59.000000 UTC   -63.70554823     0.11508857    90.08059011
2021-01-01 19:59:59.000000 UTC   -48.65688496     0.11507392    90.07299409
2021-01-01 20:59:59.000000 UTC   -33.60647574     0.11506395    90.06365211
2021-01-01 21:59:59.000000 UTC   -18.55498497     0.11505940    90.05322858
2021-01-01 22:59:59.000000 UTC    -3.50315192     0.11506065    90.04246276
2021-01-01 23:59:59.000000 UTC    11.54826017     0.11506769    90.03211791
2021-01-02 00:59:59.000000 UTC    26.59851639     0.11508009    90.02292893
2021-01-02 01:59:59.000000 UTC    41.64696217     0.11509707    90.01555039
2021-01-02 02:59:59.000000 UTC    56.69306712     0.11511754    90.01051268
2021-01-02 03:59:59.000000 UTC    71.73646156     0.11514014    90.00818549
2021-01-02 04:59:59.000000 UTC    86.77696170     0.11516340    90.00875260
2021-01-02 05:59:59.000000 UTC   101.81458182     0.11518580    90.01219974
2021-01-02 06:59:59.000000 UTC   116.84953291     0.11520584    90.01831591
2021-01-02 07:59:59.000000 UTC   131.88220794     0.11522224    90.02670815
2021-01-02 08:59:59.000000 UTC   146.91315476     0.11523392    90.03682859
2021-01-02 09:59:59.000000 UTC   161.94303870     0.11524014    90.04801192
2021-01-02 10:59:59.000000 UTC   176.97259734     0.11524054    90.05952054
2021-01-02 11:59:59.000000 UTC  -167.99740958     0.11523514    90.07059473
2021-01-02 12:59:59.000000 UTC  -152.96625166     0.11522437    90.08050407
2021-01-02 13:59:59.000000 UTC  -137.93327739     0.11520902    90.08859706
2021-01-02 14:59:59.000000 UTC  -122.89795859     0.11519018    90.09434550
2021-01-02 15:59:59.000000 UTC  -107.85992648     0.11516921    90.09738063
2021-01-02 16:59:59.000000 UTC   -92.81899725     0.11514758    90.09751864
2021-01-02 17:59:59.000000 UTC   -77.77518496     0.11512683    90.09477358
2021-01-02 18:59:59.000000 UTC   -62.72870112     0.11510844    90.08935696
2021-01-02 19:59:59.000000 UTC   -47.67994058     0.11509370    90.08166363
2021-01-02 20:59:59.000000 UTC   -32.62945474     0.11508369    90.07224499
2021-01-02 21:59:59.000000 UTC   -17.57791387     0.11507914    90.06177134
2021-01-02 22:59:59.000000 UTC    -2.52606104     0.11508042    90.05098571
2021-01-02 23:59:59.000000 UTC    12.52533910     0.11508748    90.04065277
2021-01-03 00:59:59.000000 UTC    27.57555260     0.11509989    90.03150648
2021-01-03 01:59:59.000000 UTC    42.62392826     0.11511686    90.02419802
2021-01-03 02:59:59.000000 UTC    57.66994104     0.11513726    90.01925245
2021-01-03 03:59:59.000000 UTC    72.71322823     0.11515974    90.01703248
2021-01-03 04:59:59.000000 UTC    87.75361412     0.11518283    90.01771381
2021-01-03 05:59:59.000000 UTC   102.79112162     0.11520497    90.02127353
2021-01-03 06:59:59.000000 UTC   117.82597028     0.11522470    90.02749209
2021-01-03 07:59:59.000000 UTC   132.85856094     0.11524073    90.03596866
2021-01-03 08:59:59.000000 UTC   147.88944816     0.11525199    90.04614867
2021-01-03 09:59:59.000000 UTC   162.91930234     0.11525777    90.05736173
2021-01-03 10:59:59.000000 UTC   177.94886416     0.11525770    90.06886714
2021-01-03 11:59:59.000000 UTC  -167.02110564     0.11525183    90.07990416
2021-01-03 12:59:59.000000 UTC  -151.98987781     0.11524061    90.08974355
2021-01-03 13:59:59.000000 UTC  -136.95680408     0.11522483    90.09773704
2021-01-03 14:59:59.000000 UTC  -121.92136129     0.11520562    90.10336147
2021-01-03 15:59:59.000000 UTC  -106.88318716     0.11518432    90.10625454
2021-01-03 16:59:59.000000 UTC   -91.84210532     0.11516243    90.10623990
2021-01-03 17:59:59.000000 UTC   -76.79813778     0.11514149    90.10333956
2021-01-03 18:59:59.000000 UTC   -61.75150391     0.11512295    90.09777287
2021-01-03 19:59:59.000000 UTC   -46.70260578     0.11510813    90.08994191
2021-01-03 20:59:59.000000 UTC   -31.65200093     0.11509807    90.08040423
2021-01-03 21:59:59.000000 UTC   -16.60036422     0.11509352    90.06983470
2021-01-03 22:59:59.000000 UTC    -1.54844150     0.11509480    90.05897914
2021-01-03 23:59:59.000000 UTC    13.50300184     0.11510187    90.04860297
2021-01-04 00:59:59.000000 UTC    28.55323361     0.11511428    90.03943837
2021-01-04 01:59:59.000000 UTC    43.60160519     0.11513121    90.03213395
2021-01-04 02:59:59.000000 UTC    58.64759616     0.11515154    90.02721015
2021-01-04 03:59:59.000000 UTC    73.69084979     0.11517391    90.02502370
2021-01-04 04:59:59.000000 UTC    88.73119727     0.11519683    90.02574340
2021-01-04 05:59:59.000000 UTC   103.76866886     0.11521875    90.02933899
2021-01-04 06:59:59.000000 UTC   118.80349140     0.11523821    90.03558364
2021-01-04 07:59:59.000000 UTC   133.83607249     0.11525391    90.04406974
2021-01-04 08:59:59.000000 UTC   148.86697248     0.11526481    90.05423694
2021-01-04 09:59:59.000000 UTC   163.89686620     0.11527020    90.06541042
2021-01-04 10:59:59.000000 UTC   178.92649711     0.11526973    90.07684670
2021-01-04 11:59:59.000000 UTC  -166.04337306     0.11526347    90.08778405
2021-01-04 12:59:59.000000 UTC  -151.01201599     0.11525186    90.09749417
2021-01-04 13:59:59.000000 UTC  -135.97878617     0.11523574    90.10533153
2021-01-04 14:59:59.000000 UTC  -120.94316485     0.11521622    90.11077739
2021-01-04 15:59:59.000000 UTC  -105.90479554     0.11519467    90.11347525
2021-01-04 16:59:59.000000 UTC   -90.86350871     0.11517259    90.11325558
2021-01-04 17:59:59.000000 UTC   -75.81933375     0.11515150    90.11014777
2021-01-04 18:59:59.000000 UTC   -60.77249748     0.11513289    90.10437865
2021-01-04 19:59:59.000000 UTC   -45.72340904     0.11511806    90.09635735
2021-01-04 20:59:59.000000 UTC   -30.67263214     0.11510803    90.08664759
2021-01-04 21:59:59.000000 UTC   -15.62084649     0.11510354    90.07592908
2021-01-04 22:59:59.000000 UTC    -0.56880113     0.11510490    90.06495084
2021-01-04 23:59:59.000000 UTC    14.48273728     0.11511206    90.05447957
2021-01-05 00:59:59.000000 UTC    29.53303764     0.11512455    90.04524634
2021-01-05 01:59:59.000000 UTC    44.58145338     0.11514154    90.03789774
2021-01-05 02:59:59.000000 UTC    59.62746835     0.11516189    90.03294991
2021-01-05 03:59:59.000000 UTC    74.67073172     0.11518424    90.03075367
2021-01-05 04:59:59.000000 UTC    89.71108174     0.11520707    90.03147080
2021-01-05 05:59:59.000000 UTC   104.74855641     0.11522885    90.03506329
2021-01-05 06:59:59.000000 UTC   119.78339052     0.11524812    90.04129634
2021-01-05 07:59:59.000000 UTC   134.81599925     0.11526357    90.04975477
2021-01-05 08:59:59.000000 UTC   149.84694966     0.11527419    90.05987153
2021-01-05 09:59:59.000000 UTC   164.87692195     0.11527926    90.07096640
2021-01-05 10:59:59.000000 UTC   179.90666325     0.11527846    90.08229226
2021-01-05 11:59:59.000000 UTC  -165.06306308     0.11527187    90.09308575
2021-01-05 12:59:59.000000 UTC  -150.03152926     0.11525995    90.10261909
2021-01-05 13:59:59.000000 UTC  -134.99809246     0.11524355    90.11024945
2021-01-05 14:59:59.000000 UTC  -119.96223869     0.11522381    90.11546283
2021-01-05 15:59:59.000000 UTC  -104.92361801     0.11520210    90.11790929
2021-01-05 16:59:59.000000 UTC   -89.88206876     0.11517992    90.11742717
2021-01-05 17:59:59.000000 UTC   -74.83762910     0.11515882    90.11405464
2021-01-05 18:59:59.000000 UTC   -59.79053489     0.11514026    90.10802756
2021-01-05 19:59:59.000000 UTC   -44.74120398     0.11512555    90.09976377
2021-01-05 20:59:59.000000 UTC   -29.69020779     0.11511570    90.08983469
2021-01-05 21:59:59.000000 UTC   -14.63823225     0.11511143    90.07892626
2021-01-05 22:59:59.000000 UTC     0.41396940     0.11511304    90.06779172
2021-01-05 23:59:59.000000 UTC    15.46562858     0.11512046    90.05719966
2021-01-06 00:59:59.000000 UTC    30.51601442     0.11513319    90.04788094
2021-01-06 01:59:59.000000 UTC    45.56448391     0.11515040    90.04047857
2021-01-06 02:59:59.000000 UTC    60.61052647     0.11517092    90.03550313
2021-01-06 03:59:59.000000 UTC    75.65379876     0.11519337    90.03329797
2021-01-06 04:59:59.000000 UTC    90.69414791     0.11521624    90.03401595
2021-01-06 05:59:59.000000 UTC   105.73162166     0.11523800    90.03760934
2021-01-06 06:59:59.000000 UTC   120.76646464     0.11525717    90.04383350
2021-01-06 07:59:59.000000 UTC   135.79910136     0.11527246    90.05226394
2021-01-06 08:59:59.000000 UTC   150.83010696     0.11528287    90.06232548
2021-01-06 09:59:59.000000 UTC   165.86016799     0.11528770    90.07333162
