State Vector Calculation


Calculation Inputs

Calculation type     = State Vector
Target type          = Object
Target               = sun
Observer type        = Object
Observer             = earth
Reference frame      = ITRF93
Light propagation    = No correction
Time system          = UTC
Time format          = Calendar date and time
Time range           = Jan 1 2016 00:00:00 to Dec 31 2017 00:00:00
Step                 = 1 hours
State representation = Rectangular


State Vector Results

UTC calendar date               Distance (km)       Speed (km/s)    X (km)               Y (km)               Z (km)              dX/dt (km/s)     dY/dt (km/s)     dZ/dt (km/s)  Time at Target                  Light Time (s)
2016-01-01 00:00:00.000000 UTC  147101624.63444580   9839.59650703  -135336502.79278702    -1829128.08259313  -57615738.06147768    -133.85259737    9838.68580944    2.10865558  2016-01-01 00:00:00.000000 UTC    490.67820323
2016-01-01 01:00:00.000000 UTC  147101562.53993937   9839.82694197  -131204384.45776330    33250296.76824512  -57608132.80757121    2416.37601972    9538.51753159    2.11635226  2016-01-01 01:00:00.000000 UTC    490.67799611
2016-01-01 02:00:00.000000 UTC  147101501.84174060   9840.05841975  -118136383.22108398    66066852.96671998  -57600501.23575844    4802.15758827    8588.71513634    2.12329187  2016-01-01 02:00:00.000000 UTC    490.67779364
2016-01-01 03:00:00.000000 UTC  147101442.53740457   9840.29094025   -97022072.87824863    94385464.31914626  -57592845.87735107    6861.00128365    7053.93384144    2.12959023  2016-01-01 03:00:00.000000 UTC    490.67759582
2016-01-01 04:00:00.000000 UTC  147101384.62448552   9840.52450281   -69299061.38898627   116277279.75517793  -57585168.76577181    8452.67446642    5038.67167964    2.13540664  2016-01-01 04:00:00.000000 UTC    490.67740265
2016-01-01 05:00:00.000000 UTC  147101328.10053720   9840.75910573   -36855109.48636980   130251051.56053144  -57577471.29794235    9468.75420822    2680.15464813    2.14093334  2016-01-01 05:00:00.000000 UTC    490.67721410
2016-01-01 06:00:00.000000 UTC  147101272.96311260   9840.99474904    -1899587.18102352   135354717.25878987  -57569754.13967741    9840.01291159     138.99260218    2.14638197  2016-01-01 06:00:00.000000 UTC    490.67703018
2016-01-01 07:00:00.000000 UTC  147101219.20976415   9841.23143162    33186978.98084877   131240265.53320739  -57562017.18057668    9541.13491877   -2411.75784887    2.15196958  2016-01-01 07:00:00.000000 UTC    490.67685088
2016-01-01 08:00:00.000000 UTC  147101166.83804366   9841.46915310    66015022.50578756   118187466.75208929  -57554259.54174119    8592.44276716   -4798.37865615    2.15790380  2016-01-01 08:00:00.000000 UTC    490.67667619
2016-01-01 09:00:00.000000 UTC  147101115.84550250   9841.70791254    94348677.14855234    97084849.92464088  -57546479.63533600    7058.51537159   -6858.32127420    2.16436845  2016-01-01 09:00:00.000000 UTC    490.67650610
2016-01-01 10:00:00.000000 UTC  147101066.22969136   9841.94770934   116258057.41804741    69369219.53683169  -57538675.27276662    5043.79209227   -8451.27749680    2.17151163  2016-01-01 10:00:00.000000 UTC    490.67634060
