#body type	 name	 radius (nm)					right ascension (RA) (°)	declination (°)
sun   		sun  		375647.94816414686		      0.0   0.0	
moon			moon		938.1209503239741	      		0.0	0.0
planet			jupiter		37748.92008639309		      0.0	0.0
star			vega		0.0				      279.232102	38.782316
star			arcturus		0.0				213.913315		19.178249
planet			saturn		31442.764578833692		      0.0	0.0
star			capella		0.0				79.175833		46.000278
star 			altair		0.0				297.695833		8.866389
star 			kochab		0.0				222.675434		74.155316
star 			alpheratz		0.0				2.096932		29.090387
